title,genres,user_rating,top_starts,details,box_office,technical_specs
The Godfather: A Novel for Television,"['Crime', ' Drama', ' Thriller']",9.5,"['Marlon Brando', 'Al Pacino', 'Robert Duvall', 'James Caan']","['Country: USA', 'Language: English', 'Release Date: 12 November 1977 (USA) ', 'Also Known As: Kmotr ']",[],"['Runtime: 434 min', 'Color: Color']"
Gotti: Godfather and Son,"['Documentary', ' Biography']",7.9,"['Bruce Cutler', 'John Gotti Jr.', 'Angel Gotti', 'Peter Gotti']","['Official Sites: Official site | Production company', 'Country: USA', 'Language: English', 'Release Date: 9 June 2018 (USA) ']",[],"['Runtime: 172 min (entire series)', 'Color: Color (HD)']"
The Godfather Family: A Look Inside,['Documentary'],7.8,"['Francis Ford Coppola', 'Mario Puzo', 'Marlon Brando', 'James Caan']","['Country: USA', 'Language: English | Italian', 'Release Date: 12 July 1990 (USA) ', 'Also Known As: A Keresztapa családja ', 'Filming Locations: Italy ']",[],"['Runtime: 73 min', 'Sound Mix: Mono', 'Color: Black and White | Color', 'Aspect Ratio: 1.33 : 1']"
The Godfather Legacy,['Documentary'],7.9,"['Peter Bart', 'Todd Boyd', 'James Caan', 'Francis Ford Coppola']","['Country: USA', 'Language: English', 'Release Date: 24 July 2012 (USA) ']",[],"['Runtime: 95 min', 'Sound Mix: Dolby Digital', 'Color: Color', 'Aspect Ratio: 1.85 : 1']"
Medici: Godfathers of the Renaissance,"['Documentary', ' Biography', ' History']",8.1,"['Massimo Marinoni', 'Peter Guinness', 'Ross King', 'Ian Bustard']","['Official Sites: PBS [United States]', 'Country: UK | USA', 'Language: English', 'Release Date: 2004 (UK) ', 'Also Known As: Empires: Medici - Godfathers of the Renaissance ', 'Filming Locations: Tuscany, Italy']","['Budget: GBP500,000 (estimated)']","['Runtime: 220 min (4 parts)', 'Color: Color (TV prints)', 'Aspect Ratio: 1.78 : 1']"
The Rockford Files: Godfather Knows Best,"['Action', ' Crime', ' Drama']",7.2,"['James Garner', 'Damian Chapa', 'Joe Santos', 'Maxwell Caulfield']","['Country: USA', 'Language: English | Spanish | Italian | French', 'Release Date: 18 February 1996 (USA) ', 'Also Known As: Los nuevos casos de Rockford: El padrino lo sabe todo ', 'Filming Locations: Paradise Cove - 28128 Pacific Coast Highway, Malibu, California, USA ']",[],"['Runtime: 120 min', 'Sound Mix: Stereo', 'Color: Color', 'Aspect Ratio: 1.33 : 1']"
By Whatever Means Necessary: The Times of Godfather of Harlem,['Documentary'],8.2,"['Courtland Cox', 'Giancarlo Esposito', 'Jamal Joseph', 'Denise Oliver-Velez']","['Official Sites: microsite for By Whatever Means Necessary: The Times of Godfather of Harlem', 'Country: USA', 'Language: English', 'Release Date: 8 November 2020 (USA) ']",[],['Color: Color']
"My Father, Godfather","['Comedy', ' Romance']",8.4,"['Shagufta Ali', 'Arun Bali', 'Samiksha Bhatnagar', 'Nishikant Dixit']","['Country: India', 'Language: Hindi | Russian', 'Release Date: September 2016 (India) ', 'Filming Locations: Aksa Village, Mumbai, Maharashtra, India']",[],"['Color: Color (HD)', 'Aspect Ratio: 16:9 HD']"
The Godfathers of Comedy,['Comedy'],8.4,"['John Caponera', ""Paul D'Angelo"", ""Rick D'Elia"", 'Willie Fratto']","['Country: USA', 'Language: English', 'Release Date: 4 January 2011 (USA) ', 'Filming Locations: St. Charles, Illinois, USA']","['Budget: $75,000 (estimated)']",['Color: Color']
Russian Godfathers,['Documentary'],7.6,"['Boris Berezovsky', 'Mikhail Khodorkovsky', 'Vladimir Gusinsky', 'Roman Abramovich']","['Country: UK', 'Language: English', 'Release Date: 8 December 2005 (UK) ', 'Also Known As: Mogulii Rusiei de Azi ', 'Filming Locations: London, England, UK ']",[],"['Runtime: 60 min', 'Color: Color']"
The Godfather and the Mob,['Documentary'],7.8,"['Marlon Brando', 'James Caan', 'Francis Ford Coppola', 'Tony Galtieri']","['Country: UK', 'Language: English', 'Release Date: 25 April 2006 (UK) ']","['Budget: GBP125,000 (estimated)']","['Runtime: 60 min', 'Color: Color']"
"The Godfather: Money, Power, Respect",['Documentary'],7.8,[''],"['Country: USA', 'Language: English', 'Release Date: 2006 (USA) ']",[],['Color: Color']
The Godfather,['Documentary'],7.8,['tor:James Clenaghan'],"['Official Sites: tv link to programme', 'Country: Ireland', 'Language: Irish', 'Release Date: 16 March 2015 (Ireland) ']",[],['Color: Color']
The Bradford Godfather,['Documentary'],7.8,"['David Hall', 'Mohamed Fazal Hussain']","['Country: UK', 'Language: English', 'Release Date: 10 March 1976 (UK) ']",[],['Color: Color']
Stan Tracey: The Godfather of British Jazz,['Documentary'],6.1,['tor:John Akomfrah'],"['Country: UK', 'Language: English']",[],"['Runtime: 70 min', 'Color: Color | Black and White']"
